BuildingID,BuildingAddress,CityName,StateCode,PostalCode,PropertyName,BusinessName,YearBuilt,LeaseableArea,CompleteResource,CompleteRecord,ActivityType,CreatedDate
1788627,205 West KY Ave,Middlesboro,KY,40977,Brooks-Durham Funeral Home ,Brooks-Durham Funeral Home ,,11200,,,Funeral Home,2015-08-18T02:06:24.893
1796220,76 S Macy Street,Fond du Lac,,,,,1940,0,,,,2015-08-21T09:36:40.038
1796226,42 N. Main Street,,,,,,,0,,,,2015-08-21T09:38:39.559
1796227,42 N. Main Street,,,,,,,0,,,,2015-08-21T09:38:39.566
1794865,175 S Main Street,Fond du Lac,WI,54935,Connie's Diner,,1890,1376,,,Diner,2015-08-21T13:24:21.940
1794876,47 S Main Street,Fond du Lac,WI,54935,Trinkets & Treasures,,1880,2541,,,Retail,2015-08-21T13:24:22.044
1794866,18 Forest Avenue,Fond du Lac,WI,54935,Haber M&M Printing,,1898,3600,,,Printing,2015-08-21T13:24:22.141
1794868,177 S Main Street,Fond du Lac,WI,54935,The Goldsmith,,1880,1776,,,Retail-Jewelry,2015-08-21T13:24:22.354
1794869,24 N Main Street,Fond du Lac,WI,54935,Theos Chop House,,1900,1980,,,Restaurant/Bar,2015-08-21T13:24:22.452
1794862,5 S Main Street,Fond du Lac,WI,54935,Chris James Tattoos,,1946,2000,,,Tattoo shop,2015-08-21T13:24:22.549
1794870,15 E 5th Street,Fond du Lac,WI,54935,Papenheim's Signcrafters,,1936,1596,,,Sign Printing,2015-08-21T13:24:22.647
1794872,80-86 Macy Street,Fond du Lac,WI,54935,The Hieptas Group,,1925,4720,,,Office-Retail,2015-08-21T13:24:22.854
1794874,32 4th Street,Fond du Lac,WI,54935,New Vision Signs,,1890,1640,,,Sign Printing,2015-08-21T13:24:23.283
1794867,63 N Main Street,Fond du Lac,WI,54935,What-Not-Shoppe,,1900,1760,,,Retail,2015-08-21T13:24:23.378
1794875,32 Main Street,Fond du Lac,WI,54935,Cutter Vac & Home Center,,1900,1760,,,Retail,2015-08-21T13:24:23.474
1794873,59 N Main Street,Fond du Lac,WI,54935,United Service Appraisals,,1900,1960,,,Office,2015-08-21T13:24:23.710
1794860,171 S Main Street,Fond du Lac,WI,54935,Lillian's of Fond du Lac,,1896,1780,,,Retail,2015-08-21T13:24:24.307
1794861,42 N. Main Street,Fond du Lac,WI,54935,State Farm Insurance-Sam Meyer,,1900,1720,,,Office,2015-08-21T13:24:24.613
1794863,21 E 2nd Street,Fond du Lac,WI,54935,Healthcare Solutions Team,,1922,6300,,,Multi Office,2015-08-21T13:24:24.709
1794864,14 E 5th Street,Fond du Lac,WI,54935,Goody's Family Thrift Shop,,1985,992,,,Retail,2015-08-21T13:24:24.944
1794879,22 N Main Street,Fond du Lac,WI,54935,Theos Chop House,,1900,1980,,,Restaurant/Bar,2015-08-21T13:24:25.039
1794880,32A Main Street,Fond du Lac,WI,54935,Cutter Vac & Home Center,,1900,946,,,Retail,2015-08-21T13:24:25.134
1796211,114 S Main Street,Fond du Lac,WI,54935,The UPS Store,,,0,,Y,retail,2015-09-11T09:14:17.776
1796212,47 N Main Street,Fond du Lac,WI,54935,"Cujak's Wine Market, LLC",,1928,1000,,Y,Retail,2015-09-11T09:14:17.890
1797335,27 N Main St,Fond du Lac,WI,54935,B and B Enterprises,,,0,,?,,2015-09-11T09:14:19.035
1796214,17 Forest Avenue,Fond du Lac,WI,54935,City Center,,1922,44772,,?,Business/Retail,2015-09-11T09:14:19.142
1796216,24 N Main Street,Fond du Lac,WI,54935,Theos Chop House,,1900,1980,,N,Restaurant/Bar,2015-09-11T09:14:19.226
1796218,15 E 5th Street,Fond du Lac,WI,54935,Papenheim's Signcrafters,,1936,1596,,Y,Sign Printing,2015-09-11T09:14:19.311
1796215,177 S Main Street,Fond du Lac,WI,54935,The Goldsmith,,1880,1776,,N,Retail-Jewelry,2015-09-11T09:14:19.412
1797328,76 S Macy Street,Fond du Lac,WI,54935,Macy Street Mini Mall,,1940,0,,N,,2015-09-11T09:14:19.496
1796219,130 South Main Street,Fond du Lac,WI,54935,National Exchange Bank & Trust,,1967,0,,Y,Office/retail,2015-09-11T09:14:19.579
1796222,18 E Division,Fond du Lac,WI,64935,Inspired by You,,,2200,,Y,Retail,2015-09-11T09:14:19.678
1796198,15 N Main Street,Fond du Lac,WI,54935,JJC Flooring & Design,,1874,3122,,Y,Retail,2015-09-11T09:14:20.260
1796223,80-86 Macy Street,Fond du Lac,WI,54935,The Hieptas Group,,1925,4720,,Y,Office-Retail,2015-09-11T09:14:20.358
1796203,244 S Main Street,Fond du Lac,WI,54935,The Cellar,,1930,0,,Y,Retail,2015-09-11T09:14:20.456
1796187,19 Shehoyger Street,Fond du Lac,WI,54935,Krueger's Hair Replacement Center,,,10000,,N,Business,2015-09-11T09:14:20.552
1796186,82 N Main Street,Fond du Lac,WI,54935,MoJo Hair Studio,,1900,5056,,Y,Salon,2015-09-11T09:14:20.658
1796185,179 S Main Street,Fond du Lac,WI,54935,Jack's Team Sports,,1870,4346,,Y,Retail,2015-09-11T09:14:20.753
1797330,59 N Main Street,Fond du Lac,WI,54935,United Service Appraisals,,1900,1600,,Y,Office,2015-09-11T09:14:21.347
1796188,32 4th Street,Fond du Lac,WI,54935,New Vision Signs,,1890,1640,,Y,Sign Printing,2015-09-11T09:14:21.539
1796189,63 N Main Street,Fond du Lac,WI,54935,What-Not-Shoppe,,1900,1760,,Y,Retail,2015-09-11T09:14:21.854
1796190,32 Main Street,Fond du Lac,WI,54935,Cutter Vac & Home Center,,1900,1760,,N,Retail,2015-09-11T09:14:21.951
1796193,6 N Main Street,Fond du Lac,WI,54935,Brunner Law Office,,1883,0,,Y,Office,2015-09-11T09:14:22.033
1796194,201 S Marr Street,Fond du Lac,WI,54935,"Sager & Colwin Law Offices, S.C.",,1962,4557,,Y,Office,2015-09-11T09:14:22.132
1796195,94 S Main Street,Fond du Lac,WI,54935,Gallery & Frame Shop,,1896,4884,,Y,Retail,2015-09-11T09:14:22.229
1796196,20 North Mann Street,Fond du Lac,WI,54935,Covenant United Methodist Church,,1988,0,,Y,Worship,2015-09-11T09:14:22.327
1796197,171 S Main Street,Fond du Lac,WI,54935,Lillian's of Fond du Lac,,1896,1780,,Y,Retail,2015-09-11T09:14:22.424
1796199,42 N. Main Street,Fond du Lac,WI,54935,State Farm Insurance-Sam Meyer,,1900,1720,,Y,Office,2015-09-11T09:14:22.521
1796217,5 S Main Street,Fond du Lac,WI,54935,Chris James Tattoos,,1946,2000,,N,Tattoo shop,2015-09-11T09:14:22.617
1796192,14 E 5th Street,Fond du Lac,WI,54935,Goody's Family Thrift Shop,,1900,1950,,Y,Retail,2015-09-11T09:14:22.875
1796200,21 E 2nd Street,Fond du Lac,WI,54935,Healthcare Solutions Team,,1922,6300,,Y,Multi Office,2015-09-11T09:14:23.004
1797331,23 N Main St,Fond du Lac,WI,54935,B and B Enterprises,,1920,25400,,?,Commercial,2015-09-11T09:14:23.332
1796204,110 S Main Street,Fond du Lac,WI,54935,"The Bagelmeister, Inc",,1900,5100,,Y,Retail,2015-09-11T09:14:23.438
1796202,231 S. Main Street,Fond du Lac,WI,54935,Mad Hatteur Music,,1890,2896,,Y,Retail (Alliant Bill for retail only),2015-09-11T09:14:23.535
1796206,9 S Main Street,Fond du Lac,WI,54935,Edith's,,1940,17780,,Y,Retail,2015-09-11T09:14:23.632
1796221,36 N Main St,Fond du Lac,WI,54935,Wood's Floral and Gifts,,1900,17568,,Y,Retails,2015-09-11T09:14:23.729
1796210,18 Forest Avenue,Fond du Lac,WI,54935,Haber M&M Printing,,1898,3600,,Y,Printing,2015-09-11T09:14:23.826
1796207,175 S Main Street,Fond du Lac,WI,54935,Connie's Diner,,1890,1376,,Y,Diner,2015-09-11T09:14:23.925
1796209,47 S Main Street,Fond du Lac,WI,54935,Trinkets & Treasures,,1880,2541,,Y,Retail,2015-09-11T09:14:24.022
1796224,32A Main Street,Fond du Lac,WI,54935,Cutter Vac & Home Center,,1900,946,,N,Retail,2015-09-11T09:14:24.120
1796208,22 N Main Street,Fond du Lac,WI,54935,Theos Chop House,,1900,1980,,N,Restaurant/Bar,2015-09-11T09:14:24.207
