BuildingID,BuildingAddress,CityName,StateCode,PostalCode,PropertyName,BusinessName,YearBuilt,LeaseableArea,CompleteResource,CompleteRecord,ActivityType,CreatedDate
1795347,379 Centre Street,Jamaica Plain,MA,2130,,Atlantic Travel,1920,750,,,Travel Agency,2015-08-14T02:49:25.775
1795346,280 Centre Street,Jamaica Plain,MA,2130,,Camilo Market,1920,2100,,,Liquor Store,2015-08-14T02:49:25.787
1795345,66A Boylston Street,Jamaica Plain,MA,2130,,City Feed and Supply,1910,1100,,,Convenience Store,2015-08-14T02:49:25.794
1795344,360 Centre Street,Jamaica Plain,MA,2130,,Del Valle's Children's Gift Shop,1920,1200,,,General Retail,2015-08-14T02:49:25.801
1795343,298 Centre Street,Jamaica Plain,MA,2130,,Evelyn's Market,1920,1200,,,Convenience Store,2015-08-14T02:49:25.808
1795342,30 Sunnyside Street,Jamaica Plain,MA,2130,,Hyde Square Task Force - 30 Sunnyside,1901,16000,,,Nonprofit organization,2015-08-14T02:49:25.815
1795341,302 Centre Street,Jamaica Plain,MA,2130,,Latino Restaurant,1900,1000,,,Restaurant,2015-08-14T02:49:25.830
1795340,368A Centre Street,Jamaica Plain,MA,2130,,Muneca,1900,600,,,Women's & Men's clothing accessories,2015-08-14T02:49:25.836
1795339,347 Centre Street,Jamaica Plain,MA,2130,,Rizzo's Pizza,1925,1240,,,Restaurant,2015-08-14T02:49:25.843
1795338,296 Centre Street,Jamaica Plain,MA,2130,,Amador and Oller,1920,930,,,"Tax accountant, legal assistance",2015-08-14T02:49:25.850
1795337,378 Centre Street,Jamaica Plain,MA,2130,,Brendan Behan Pub,1920,1000,,,Bar ,2015-08-14T02:49:25.857
1795362,"366 Centre Street, B",Jamaica Plain,MA,2130,,Centre Tailor,1920,340,Yes,,Tailor,2015-08-14T02:49:25.864
1795336,278 Centre Street,Jamaica Plain,MA,2130,,Cristal Fruit,2010,300,,,"Fruit stand, food store",2015-08-14T02:49:25.871
1795335,371 Centre Street,Jamaica Plain,MA,2130,,El Patio,1900,1000,,,Convenience Store,2015-08-14T02:49:25.878
1795334,333 Centre Street,Jamaica Plain,MA,2130,,Gondres Bakery,1920,930,,,Bakery,2015-08-14T02:49:25.885
1795361,300B Centre Street,Jamaica Plain,MA,2130,,J&P Cleaners,,1800,,,Dry cleaner,2015-08-14T02:49:25.893
