BuildingID,MeterID,MeterName,MeterUnits,EnergyType,EnergyCost,EnergyReading,StartDate,EndDate
1795362,5539,1106588,kWh,Electricity,222.88,980,2015-07-08T00:00:00,2015-08-06T00:00:00
1795362,5539,1106588,kWh,Electricity,129.74,536,2014-09-08T00:00:00,2014-10-06T00:00:00
1795362,5539,1106588,kWh,Electricity,146.66,707,2015-04-06T00:00:00,2015-05-06T00:00:00
1795362,5539,1106588,kWh,Electricity,231.06,914,2014-08-07T00:00:00,2014-09-08T00:00:00
1795362,5539,1106588,kWh,Electricity,292.31,1259,2015-03-06T00:00:00,2015-04-06T00:00:00
1795362,5539,1106588,kWh,Electricity,232.56,940,2014-07-09T00:00:00,2014-08-07T00:00:00
1795362,5539,1106588,kWh,Electricity,385.31,1669,2015-02-05T00:00:00,2015-03-06T00:00:00
1795362,5539,1106588,kWh,Electricity,206.46,832,2014-06-09T00:00:00,2014-07-09T00:00:00
1795362,5539,1106588,kWh,Electricity,221.75,950,2014-11-05T00:00:00,2014-12-05T00:00:00
1795362,5539,1106588,kWh,Electricity,357.21,1569,2015-01-07T00:00:00,2015-02-05T00:00:00
1795362,5539,1106588,kWh,Electricity,199.03,884,2015-06-05T00:00:00,2015-07-08T00:00:00
1795362,5539,1106588,kWh,Electricity,144.36,665,2014-10-06T00:00:00,2014-11-05T00:00:00
1795362,5539,1106588,kWh,Electricity,291.7,1264,2014-12-05T00:00:00,2015-01-07T00:00:00
1795362,5539,1106588,kWh,Electricity,149.85,686,2015-05-06T00:00:00,2015-06-05T00:00:00
1795331,6002,705453,Therm,Natural Gas,29.12,7,2013-07-19T00:00:00,2013-08-19T00:00:00
1795331,6002,705453,Therm,Natural Gas,251.04,171,2014-04-14T00:00:00,2014-05-17T00:00:00
1795331,6002,705453,Therm,Natural Gas,22.31,,2015-02-14T00:00:00,2015-03-16T00:00:00
1795331,6002,705453,Therm,Natural Gas,1404.16,961,2014-01-18T00:00:00,2014-02-15T00:00:00
1795331,6002,705453,Therm,Natural Gas,21.57,,2014-09-16T00:00:00,2014-10-15T00:00:00
1795331,6002,705453,Therm,Natural Gas,363.92,297,2013-10-19T00:00:00,2013-11-17T00:00:00
1795331,6002,705453,Therm,Natural Gas,28.19,7,2014-07-18T00:00:00,2014-08-15T00:00:00
1795331,6002,705453,Therm,Natural Gas,23.8,,2014-11-13T00:00:00,2014-12-15T00:00:00
1795331,6002,705453,Therm,Natural Gas,29.99,8,2013-08-19T00:00:00,2013-09-19T00:00:00
1795331,6002,705453,Therm,Natural Gas,25.16,2,2014-06-17T00:00:00,2014-07-18T00:00:00
1795331,6002,705453,Therm,Natural Gas,24.16,3,2013-06-20T00:00:00,2013-07-19T00:00:00
1795331,6002,705453,Therm,Natural Gas,708.54,429,2014-03-17T00:00:00,2014-04-14T00:00:00
1795331,6002,705453,Therm,Natural Gas,22.31,,2015-01-15T00:00:00,2015-02-14T00:00:00
1795331,6002,705453,Therm,Natural Gas,23.06,,2014-12-15T00:00:00,2015-01-15T00:00:00
1795331,5983,21073991008-1,kWh,Electricity,129.62,692,2014-09-05T00:00:00,2014-10-03T00:00:00
1795331,5983,21073991008-1,kWh,Electricity,204.3,854,2015-04-03T00:00:00,2015-05-06T00:00:00
1795331,5983,21073991008-1,kWh,Electricity,188.38,959,2014-12-05T00:00:00,2015-01-07T00:00:00
1795331,5983,21073991008-1,kWh,Electricity,242.57,1012,2015-02-05T00:00:00,2015-03-06T00:00:00
1795331,5983,21073991008-1,kWh,Electricity,147.28,789,2014-06-06T00:00:00,2014-07-09T00:00:00
1795331,5983,21073991008-1,kWh,Electricity,125,666,2014-08-07T00:00:00,2014-09-05T00:00:00
1795331,5983,21073991008-1,kWh,Electricity,258.66,1081,2015-01-07T00:00:00,2015-02-05T00:00:00
1795331,5983,21073991008-1,kWh,Electricity,168.71,696,2015-03-06T00:00:00,2015-04-03T00:00:00
1795331,5983,21073991008-1,kWh,Electricity,133.17,690,2015-07-08T00:00:00,2015-08-05T00:00:00
1795331,5983,21073991008-1,kWh,Electricity,130.15,695,2014-07-09T00:00:00,2014-08-07T00:00:00
1795331,5983,21073991008-1,kWh,Electricity,151.7,816,2014-11-05T00:00:00,2014-12-05T00:00:00
1795331,5983,21073991008-1,kWh,Electricity,158.57,695,2015-06-08T00:00:00,2015-07-08T00:00:00
1795331,5983,21073991008-1,kWh,Electricity,166.3,898,2014-10-03T00:00:00,2014-11-05T00:00:00
1795331,5983,21073991008-1,kWh,Electricity,172.33,716,2015-05-06T00:00:00,2015-06-08T00:00:00
