BuildingID,BuildingAddress,CityName,StateCode,PostalCode,PropertyName,BusinessName,YearBuilt,LeaseableArea,CompleteResource,CompleteRecord,ActivityType,CreatedDate,
1796185,179 S Main Street,Fond du Lac,WI,54935,Jack's Team Sports,,1870,4346,,Y,Retail,2015-09-11T09:14:20.753,
1796186,82 N Main Street,Fond du Lac,WI,54935,MoJo Hair Studio,,1900,5056,,Y,Salon,2015-09-11T09:14:20.658,
1796188,32 4th Street,Fond du Lac,WI,54935,New Vision Signs,,1890,1640,,Y,Sign Printing,2015-09-11T09:14:21.539,
1796189,63 N Main Street,Fond du Lac,WI,54935,What-Not-Shoppe,,1900,1760,,Y,Retail,2015-09-11T09:14:21.854,
1796192,14 E 5th Street,Fond du Lac,WI,54935,Goody's Family Thrift Shop,,1900,1950,,Y,Retail,2015-09-11T09:14:22.875,
1796193,6 N Main Street,Fond du Lac,WI,54935,Brunner Law Office,,1883,0,,Y,Office,2015-09-11T09:14:22.033,
1796194,201 S Marr Street,Fond du Lac,WI,54935,"Sager & Colwin Law Offices, S.C.",,1962,4557,,Y,Office,2015-09-11T09:14:22.132,
1796195,94 S Main Street,Fond du Lac,WI,54935,Gallery & Frame Shop,,1896,4884,,Y,Retail,2015-09-11T09:14:22.229,
1796196,20 North Mann Street,Fond du Lac,WI,54935,Covenant United Methodist Church,,1988,0,,Y,Worship,2015-09-11T09:14:22.327,
1796197,171 S Main Street,Fond du Lac,WI,54935,Lillian's of Fond du Lac,,1896,1780,,Y,Retail,2015-09-11T09:14:22.424,
1796198,15 N Main Street,Fond du Lac,WI,54935,JJC Flooring & Design,,1874,3122,,Y,Retail,2015-09-11T09:14:20.260,
1796199,42 N. Main Street,Fond du Lac,WI,54935,State Farm Insurance-Sam Meyer,,1900,1720,,Y,Office,2015-09-11T09:14:22.521,
1796200,21 E 2nd Street,Fond du Lac,WI,54935,Healthcare Solutions Team,,1922,6300,,Y,Multi Office,2015-09-11T09:14:23.004,
1796202,231 S. Main Street,Fond du Lac,WI,54935,Mad Hatteur Music,,1890,2896,,Y,Retail (Alliant Bill for retail only),2015-09-11T09:14:23.535,
1796203,244 S Main Street,Fond du Lac,WI,54935,The Cellar,,1930,0,,Y,Retail,2015-09-11T09:14:20.456,
1796204,110 S Main Street,Fond du Lac,WI,54935,"The Bagelmeister, Inc",,1900,5100,,Y,Retail,2015-09-11T09:14:23.438,
1796206,9 S Main Street,Fond du Lac,WI,54935,Edith's,,1940,17780,,Y,Retail,2015-09-11T09:14:23.632,
1796207,175 S Main Street,Fond du Lac,WI,54935,Connie's Diner,,1890,1376,,Y,Diner,2015-09-11T09:14:23.925,
1796209,47 S Main Street,Fond du Lac,WI,54935,Trinkets & Treasures,,1880,2541,,Y,Retail,2015-09-11T09:14:24.022,
1796210,18 Forest Avenue,Fond du Lac,WI,54935,Haber M&M Printing,,1898,3600,,Y,Printing,2015-09-11T09:14:23.826,
1796211,114 S Main Street,Fond du Lac,WI,54935,The UPS Store,,,0,,Y,retail,2015-09-11T09:14:17.776,
1796212,47 N Main Street,Fond du Lac,WI,54935,"Cujak's Wine Market, LLC",,1928,1000,,Y,Retail,2015-09-11T09:14:17.890,
1796218,15 E 5th Street,Fond du Lac,WI,54935,Papenheim's Signcrafters,,1936,1596,,Y,Sign Printing,2015-09-11T09:14:19.311,
1796219,130 South Main Street,Fond du Lac,WI,54935,National Exchange Bank & Trust,,1967,0,,Y,Office/retail,2015-09-11T09:14:19.579,
1796221,36 N Main St,Fond du Lac,WI,54935,Wood's Floral and Gifts,,1900,17568,,Y,Retails,2015-09-11T09:14:23.729,
1796222,18 E Division,Fond du Lac,WI,64935,Inspired by You,,,2200,,Y,Retail,2015-09-11T09:14:19.678,
1796223,80-86 Macy Street,Fond du Lac,WI,54935,The Hieptas Group,,1925,4720,,Y,Office-Retail,2015-09-11T09:14:20.358,
1797330,59 N Main Street,Fond du Lac,WI,54935,United Service Appraisals,,1900,1600,,Y,Office,2015-09-11T09:14:21.347,
